nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0499714	Leo Lehmann	1926	2005	['writer']	['tt0222545', 'tt0248648', 'tt0163475', 'tt0159861']
nm0505482	Paolo Levi	1919	1989	['writer']	['tt0062397', 'tt8844496', 'tt0062078', 'tt0047303']
nm0506354	Bob Levy	\N	\N	['director', 'miscellaneous']	['tt0266458', 'tt0233032', 'tt0288363', 'tt0096532']
nm0509190	David Liddiment	1952	\N	['producer', 'writer', 'director']	['tt0155429', 'tt0147764', 'tt0053494', 'tt0163435']
nm0509327	Wolfgang Liebeneiner	1905	1987	['director', 'actor', 'writer']	['tt0044312', 'tt0033750', 'tt0029279', 'tt0236861']
nm0510245	Peter Lilienthal	1929	\N	['director', 'writer', 'actor']	['tt0079028', 'tt0086922', 'tt0074491', 'tt0093930']
nm0513888	Daniel Lir	\N	\N	['director', 'producer', 'editor']	['tt1622581', 'tt6901304', 'tt1623153', 'tt2220528']
nm0516222	Luigi Lo Cascio	1967	\N	['actor', 'writer', 'director']	['tt0346336', 'tt0282701', 'tt2290918', 'tt7736478']
nm0519556	Frederick Lonsdale	1881	1954	['writer']	['tt0020821', 'tt0029120', 'tt0020081', 'tt0021042']
nm0527217	Hamilton Luske	1903	1968	['director', 'animation_department', 'producer']	['tt0042332', 'tt0058331', 'tt0032910', 'tt0046183']
nm0530121	Francisco Javier López	\N	\N	['writer', 'director', 'actor']	['tt0994858', 'tt0404144', 'tt0338321', 'tt3695232']
nm0533383	Philip Charles MacKenzie	1946	\N	['actor', 'director', 'producer']	['tt10441238', 'tt0072890', 'tt0086677', 'tt0096671']
nm0533557	Don MacKinnon	\N	\N	['animation_department', 'art_department', 'production_designer']	['tt0805905', 'tt0260602', 'tt0113198', 'tt0257325']
nm0542943	Robert Mann	\N	\N	['actor', 'writer', 'director']	['tt4279118', 'tt0810444', 'tt8553882', 'tt9893704']
nm0545169	Terry Marcel	1942	\N	['director', 'producer', 'assistant_director']	['tt0067800', 'tt0093296', 'tt0075066', 'tt0086141']
nm0545713	Chris Marcil	\N	\N	['producer', 'writer', 'miscellaneous']	['tt7908628', 'tt0112095', 'tt0106004', 'tt1131750']
nm0547640	Euclydes Marinho	1950	\N	['writer', 'producer', 'director']	['tt1674306', 'tt8194038', 'tt0085216', 'tt0290350']
nm0548071	Alberto Mariscal	1926	2010	['director', 'actor', 'assistant_director']	['tt0329365', 'tt0314799', 'tt0271763', 'tt0330661']
nm0550259	Roberto Marroquín	\N	\N	['director', 'assistant_director', 'writer']	['tt0433110', 'tt0393173', 'tt0382213', 'tt0259999']
nm0551739	Santa Martha	\N	\N	['director']	['tt0847611', 'tt0118449', 'tt0779888', 'tt0495655']
nm0552491	Jean-Luc Martin	\N	\N	['producer', 'production_manager', 'actor']	['tt0491082', 'tt0446771', 'tt0320751', 'tt0118688']
nm0554787	Óscar Martín	\N	\N	['director', 'writer', 'editor']	['tt10524364', 'tt0878121', 'tt1710947', 'tt1401632']
nm0555439	Daniel Marusic	1931	2009	['director', 'writer']	['tt0065313', 'tt0429324', 'tt1383444', 'tt1463152']
nm0555440	Joakim Marusic	1937	1985	['director', 'writer', 'assistant_director']	['tt0081955', 'tt0199195', 'tt1431198', 'tt0273394']
nm0561255	Richard Mauro	1952	\N	['camera_department', 'cinematographer', 'director']	['tt0165283', 'tt0399877', 'tt0089037', 'tt0103649']
nm0563701	Paolo Mazzucato	\N	\N	['editor', 'writer', 'director']	['tt3804774', 'tt0112843', 'tt0119700']
nm0564836	Brian McCann	1965	\N	['writer', 'actor', 'producer']	['tt1637574', 'tt0106052', 'tt7488702', 'tt0837562']
nm0565749	Karen McClellan	\N	\N	['producer', 'writer', 'miscellaneous']	['tt2078576', 'tt1149608', 'tt2374744', 'tt7297872']
nm0568192	Terry McDonough	\N	\N	['director', 'camera_department', 'producer']	['tt12745216', 'tt0472984', 'tt3230854', 'tt0168596']
nm0568855	Douglas McFerran	1958	\N	['actor', 'writer', 'director']	['tt0347772', 'tt0274166', 'tt0218817', 'tt0120148']
nm0570117	Patrick McGuinn	1966	\N	['editorial_department', 'director', 'producer']	['tt1041829', 'tt3388014', 'tt0807767', 'tt0465624']
nm0571903	Nick McKinney	1965	\N	['producer', 'writer', 'director']	['tt1322044', 'tt0292805', 'tt0411040', 'tt0386241']
nm0571935	Bob McKinnon	\N	\N	['director']	['tt0106113', 'tt0465340', 'tt1353056', 'tt0072506']
nm0572909	Tiffany McLinn Lore	\N	\N	['producer', 'director', 'miscellaneous']	['tt0313038', 'tt0118998', 'tt0100168', 'tt0896232']
nm0576634	Dieter Meichsner	1928	2010	['producer', 'writer', 'director']	['tt0806910', 'tt0060855', 'tt0103510', 'tt0395308']
nm0577605	Bernabé Melendrez	1949	\N	['actor', 'director', 'writer']	['tt0432966', 'tt12646654', 'tt3695232', 'tt12660442']
nm0578117	Kay Mellor	1951	\N	['writer', 'producer', 'actress']	['tt3428478', 'tt0181534', 'tt0264246', 'tt0144728']
nm0579995	James Menzies	1926	2008	['miscellaneous', 'writer']	['tt0068135', 'tt0062568', 'tt0056757', 'tt0055666']
nm0583450	Benno Meyer-Wehlack	1928	2014	['writer', 'actor']	['tt0896992', 'tt0054109', 'tt0056535', 'tt6892070']
nm0583628	Simon Meyers	\N	\N	['director', 'producer', 'production_manager']	['tt0275821', 'tt11204260', 'tt0096555', 'tt3922704']
nm0587583	Gerry Mill	\N	\N	['director', 'producer', 'miscellaneous']	['tt0098954', 'tt0162108', 'tt0101114', 'tt0086791']
nm0588649	John Lloyd Miller	\N	\N	['director', 'music_department', 'actor']	['tt0213722']
nm0590360	Paula Milne	1947	\N	['writer', 'script_department', 'producer']	['tt0115177', 'tt0112126', 'tt1315058', 'tt0113314']
nm0597233	Paul Moloney	\N	\N	['director', 'producer', 'sound_department']	['tt0291832', 'tt0108792', 'tt1767256', 'tt2329424']
nm0599114	Anthony Montes	\N	\N	['actor', 'producer', 'writer']	['tt4004842', 'tt3188546', 'tt0098105', 'tt14456740']
nm0601256	Graham Moore	\N	\N	['director', 'writer', 'producer']	['tt0068069', 'tt0234321', 'tt1588175', 'tt0162809']
nm0601815	Rodney Moore	1950	\N	['director', 'actor', 'producer']	['tt2243236', 'tt2054800', 'tt1388785', 'tt0474175']
nm0604072	Lucía Moreno	\N	\N	['actress', 'director', 'writer']	['tt0439344', 'tt14143256', 'tt1454045', 'tt0807006']
nm0607876	John Mortimer	1923	2009	['writer', 'actor', 'producer']	['tt0058997', 'tt1601979', 'tt0064513', 'tt0055018']
nm0608399	Tad Mosel	1922	2008	['writer', 'actor']	['tt1200080', 'tt0062425', 'tt0057999', 'tt0073952']
nm0609264	Imo Moszkowicz	1925	2011	['director', 'writer', 'actor']	['tt0806910', 'tt0115080', 'tt0489238', 'tt0131686']
nm0611889	Chris Mulkey	1948	\N	['actor', 'soundtrack', 'producer']	['tt4669788', 'tt1535109', 'tt0098936', 'tt5688068']
nm0621073	Art Napoleon	1920	2003	['writer', 'producer', 'director']	['tt0052302', 'tt0051900', 'tt0063984', 'tt0050077']
nm0621075	Jo Napoleon	1924	1999	['writer', 'producer']	['tt0051900', 'tt0058523', 'tt0063984', 'tt0050077']
nm0622051	Jim Powers	\N	\N	['director', 'camera_department', 'cinematographer']	['tt0349956', 'tt4029384', 'tt2069729', 'tt3236482']
nm0625818	John Nelson-Burton	\N	\N	['director', 'producer', 'writer']	['tt0212658', 'tt1285233', 'tt1238826', 'tt0065271']
nm0630497	Guy Nicolucci	1970	\N	['writer', 'producer']	['tt0899126', 'tt0106052', 'tt2297810', 'tt5728374']
nm0635620	Russell Norman	\N	\N	['director', 'miscellaneous', 'producer']	['tt0759364', 'tt7619858', 'tt7369770', 'tt8746434']
nm0639997	Sean O'Casey	1880	1964	['writer', 'soundtrack']	['tt0172966', 'tt0028112', 'tt0059930', 'tt0021015']
nm0643945	Erik Ode	1910	1983	['actor', 'director', 'writer']	['tt0052161', 'tt0014146', 'tt0063920', 'tt0051333']
nm0644265	Gerd Oelschlegel	1926	1998	['writer', 'director']	['tt0242203', 'tt0377180', 'tt0054541', 'tt0290265']
nm0645975	Deji LaRay	\N	\N	['actor', 'editor', 'producer']	['tt4971144', 'tt3502248']
nm0647454	Carlos Olmos	1948	2003	['writer']	['tt0278243', 'tt0131166', 'tt0214340', 'tt0215409']
nm0658388	Nicholas Palmer	1937	1995	['producer', 'writer', 'script_department']	['tt0379150', 'tt0866639', 'tt0169886', 'tt0066719']
nm0670328	Bill Peet	1915	2002	['writer', 'animation_department', 'art_department']	['tt0057546', 'tt0042332', 'tt0053285', 'tt0033563']
nm0672632	Frank Peppiatt	1927	2012	['writer', 'producer', 'actor']	['tt0074058', 'tt0080281', 'tt0063908', 'tt0068089']
nm0672824	Steve Purcell	\N	\N	['editor', 'director', 'producer']	['tt0093970', 'tt0167757', 'tt0055708', 'tt0297169']
nm0674357	Anna Pernicci	\N	\N	['actress', 'director', 'writer']	['tt0104307', 'tt0098153', 'tt4080400', 'tt0765443']
nm0675094	Hart Perry	\N	\N	['director', 'cinematographer', 'producer']	['tt0360141', 'tt0100379', 'tt7347756', 'tt1176902']
nm0678963	Peyo	1928	1992	['writer', 'director', 'music_department']	['tt0074539', 'tt2017020', 'tt0472181', 'tt0081933']
nm0679683	Ashley Pharoah	1959	\N	['writer', 'producer']	['tt4928166', 'tt1008108', 'tt0478942', 'tt0757127']
nm0680671	Nic Phillips	1947	\N	['director', 'producer', 'assistant_director']	['tt0292410', 'tt0106014', 'tt0094548', 'tt0096545']
nm0685063	Luigi Pirandello	1867	1936	['writer']	['tt0451808', 'tt0047756', 'tt0027922', 'tt0015801']
nm0687090	Susan Pleat	\N	\N	['writer', 'producer']	['tt0053494', 'tt11842462', 'tt0083392', 'tt0080234']
nm0690570	Ken Pontac	1957	\N	['writer', 'producer', 'director']	['tt3681484', 'tt0162796', 'tt1636691', 'tt0218791']
nm0693943	Jeff Povey	\N	\N	['writer', 'director']	['tt2319282', 'tt5663062', 'tt0321469', 'tt0337792']
nm0694070	Corey Powell	\N	\N	['writer', 'miscellaneous', 'producer']	['tt3699332', 'tt8994298', 'tt2769458', 'tt0435585']
nm0703253	Boris Quercia	\N	\N	['director', 'actor', 'writer']	['tt1569539', 'tt8638192', 'tt2934888', 'tt0363292']
nm0710969	Lanette Ware	1968	\N	['actress', 'writer', 'director']	['tt0758766', 'tt0280486', 'tt0162650', 'tt5052460']
nm0715087	Phil Redmond	1949	\N	['writer', 'producer', 'miscellaneous']	['tt0075512', 'tt0112004', 'tt0083392', 'tt0484803']
nm0715672	Rosemarie Reed	\N	\N	['director', 'producer', 'writer']	['tt0820989', 'tt10663998', 'tt10662370', 'tt10664722']
nm0719392	José Rendón	\N	\N	['director', 'writer', 'producer']	['tt0214336', 'tt0211815', 'tt0888077', 'tt0212653']
nm0720462	Luis Alberto Restrepo	1956	\N	['director', 'producer', 'production_manager']	['tt0264946', 'tt0888357', 'tt6809396', 'tt1442257']
nm0723276	Fulvio Ricciardi	\N	\N	['actor', 'writer', 'director']	['tt1518731', 'tt0083811', 'tt1906407', 'tt0188071']
nm0723545	Scott Rice	1972	\N	['director', 'producer', 'writer']	['tt0982926', 'tt5532152', 'tt5814534', 'tt0243567']
nm0724492	David Richardson	\N	\N	['director', 'writer', 'producer']	['tt0295781', 'tt0241383', 'tt0088512', 'tt0068069']
nm0725791	Rideamus	1874	1956	['writer', 'soundtrack']	['tt1381127', 'tt0046507', 'tt0021193', 'tt1381126']
nm0727210	Walter Rilla	1894	1980	['actor', 'director', 'writer']	['tt0057479', 'tt0258448', 'tt0025748', 'tt0043594']
nm0733270	Emmanuel Roblès	1914	1995	['writer', 'script_department']	['tt0047925', 'tt5651756', 'tt0929663', 'tt1529717']
nm0733975	Sean Roche	\N	\N	['writer', 'producer', 'miscellaneous']	['tt0328055', 'tt0131613', 'tt1740717', 'tt0167742']
nm0734203	Tony Rock	1974	\N	['actor', 'writer', 'producer']	['tt1621045', 'tt0362404', 'tt1240537', 'tt0464051']
