tconst	parentTconst	seasonNumber	episodeNumber
tt10197196	tt10192554	1	1
tt10197828	tt9916380	1	6
tt10197842	tt9916380	1	8
tt10197874	tt9916380	1	10
tt10198002	tt0407423	49	48
tt10198656	tt0407423	49	49
tt10198660	tt0407423	49	50
tt10201314	tt0407423	49	71
tt10207192	tt0407423	49	72
tt10207892	tt0407423	49	73
tt10208430	tt0407423	49	86
tt10208454	tt0407423	49	87
tt10208460	tt0407423	49	88
tt10208464	tt0407423	49	92
tt10208470	tt0407423	49	95
tt10208476	tt0407423	49	96
tt10208482	tt0407423	49	105
tt10212072	tt9826524	2	8
tt1022319	tt0101188	3	19
tt10234810	tt9826524	1	31
tt10240446	tt0407423	46	75
tt10255122	tt0407423	44	29
tt10261256	tt5270892	\N	\N
tt1026148	tt0101188	2	11
tt10262456	tt6232304	2	13
tt10262458	tt6232304	2	12
tt10280790	tt3869500	5	1
tt10280800	tt3869500	5	2
tt10280802	tt3869500	5	3
tt10280804	tt3869500	5	4
tt10280810	tt3869500	5	5
tt10280812	tt3869500	5	6
tt10283210	tt10085008	1	6
tt10283244	tt10085008	1	7
tt10283282	tt10085008	1	8
tt10288212	tt0407423	48	39
tt10294700	tt1915208	1	286
tt10298530	tt0407423	46	76
tt10299024	tt3869500	5	7
tt10303182	tt0407423	44	26
tt1030443	tt0101188	3	26
tt10307680	tt3869500	5	8
tt10308472	tt0407423	46	85
tt10312846	tt0407423	20	86
tt10313330	tt0407423	20	87
tt10313750	tt0407423	34	101
tt10318126	tt0407423	45	85
tt10319742	tt6232304	2	11
tt10319834	tt6232304	2	14
tt10322870	tt0407423	37	97
tt10323140	tt0407423	38	97
tt10326508	tt0407423	45	30
tt10327104	tt0407423	42	69
tt10327684	tt1740717	4	12
tt10327690	tt1740717	4	13
tt10327694	tt1740717	5	1
tt10327700	tt1740717	4	2
tt10333424	tt0407423	42	59
tt10338376	tt0407423	42	70
tt1033969	tt0101188	5	11
tt10342522	tt0407423	42	68
tt10343710	tt0407423	42	85
tt10343936	tt10059674	1	4
tt10349002	tt0407423	42	88
tt10349388	tt0407423	42	89
tt10350138	tt0407423	42	109
tt10350140	tt0407423	42	111
tt10350144	tt0407423	42	112
tt1035125	tt0101188	6	1
tt1035126	tt0101188	3	24
tt10357712	tt0407423	46	77
tt10358612	tt0407423	46	104
tt10373340	tt10369404	1	1
tt10374838	tt0407423	48	93
tt10385664	tt0407423	44	56
tt10388864	tt0407423	47	33
tt10389952	tt6314992	1	6
tt10398066	tt10383870	1	1
tt10398098	tt10383870	1	2
tt10398276	tt10383870	1	3
tt10405178	tt0407423	44	33
tt10405204	tt0407423	44	81
tt10405224	tt0407423	45	32
tt10414764	tt9826524	1	25
tt10423042	tt0407423	48	45
tt10437294	tt9646546	2	6
tt10443294	tt0094460	\N	\N
tt10443978	tt0407423	44	35
tt10446670	tt0407423	44	55
tt10458210	tt0407423	48	75
tt10460408	tt0407423	48	57
tt10472208	tt0407423	45	58
tt10486654	tt0407423	48	55
tt10487868	tt0407423	44	41
tt10498104	tt0407423	44	34
tt10498130	tt0407423	45	36
tt10498148	tt0407423	45	43
tt10498152	tt0407423	45	44
tt10498154	tt0407423	45	45
tt10498180	tt0407423	48	61
tt1050876	tt0459065	2	22
tt10510288	tt0407423	45	66
tt10511906	tt0407423	44	65
tt10511972	tt0407423	45	59
tt10517310	tt0407423	48	34
tt10517346	tt0407423	48	38
tt10517390	tt0407423	48	56
tt10520116	tt0407423	48	62
tt10520126	tt0407423	48	66
tt10520132	tt0407423	48	67
tt10520138	tt0407423	48	68
tt10520142	tt0407423	48	69
tt10520158	tt0407423	48	70
tt10520170	tt0407423	48	71
tt10520186	tt0407423	48	74
tt10520196	tt0407423	48	76
tt10520208	tt0407423	48	80
tt10520226	tt0407423	48	81
tt10520240	tt0407423	48	89
tt10520242	tt0407423	48	90
tt10520246	tt0407423	48	94
tt10520258	tt0407423	48	101
tt10520292	tt0407423	48	102
tt10520306	tt0407423	48	103
tt10520322	tt0407423	48	104
tt10520336	tt0407423	48	105
tt10526696	tt0407423	44	48
tt10526702	tt0407423	44	53
tt10526708	tt0407423	44	66
tt10526712	tt0407423	44	74
tt10529802	tt9826524	1	39
tt10539522	tt9826524	1	33
tt10544178	tt0407423	46	105
tt10552440	tt10438456	1	2
tt10553842	tt0407423	44	93
tt10554136	tt0407423	44	59
tt10557606	tt0407423	44	36
tt10557666	tt0407423	44	51
tt10557716	tt0407423	44	57
tt10558480	tt0407423	\N	\N
tt10560642	tt4014320	3	3
tt10560648	tt4014320	3	4
tt10560652	tt4014320	3	5
tt10560656	tt4014320	3	6
tt10560672	tt4014320	3	10
tt10560680	tt4014320	3	12
tt10562538	tt0407423	60	44
tt10563112	tt0407423	\N	\N
tt10563124	tt0407423	\N	\N
tt10567952	tt0407423	47	109
tt10567976	tt0407423	50	33
tt10573312	tt0407423	\N	\N
tt10573318	tt0407423	\N	\N
tt10573322	tt0407423	\N	\N
tt10573324	tt0407423	\N	\N
tt10573330	tt0407423	\N	\N
tt10573332	tt0407423	\N	\N
tt10573336	tt0407423	\N	\N
tt10573338	tt0407423	\N	\N
tt10573342	tt0407423	\N	\N
tt10573344	tt0407423	\N	\N
tt10573350	tt0407423	\N	\N
tt10576978	tt0407423	46	96
tt10580342	tt0407423	60	20
tt10580684	tt10434008	\N	\N
tt10582078	tt10473284	\N	\N
tt10588154	tt0407423	45	72
tt10588438	tt10582106	1	6
tt10601424	tt0407423	46	67
tt10602986	tt10434008	\N	\N
tt10606124	tt10383870	1	4
tt10606264	tt0407423	47	62
tt10606272	tt0407423	47	65
tt10606282	tt0407423	47	70
tt10611100	tt10483578	\N	\N
tt10619652	tt3824066	3	1
tt10620846	tt9826524	1	34
tt10622418	tt10383870	1	5
tt10627542	tt10627300	1	10
tt10631316	tt0407423	45	65
tt10641074	tt0407423	45	71
tt1064322	tt0094460	\N	\N
tt10675462	tt0407423	43	89
tt10697272	tt9170658	2	7
tt10735380	tt9646546	3	5
tt10756292	tt3824066	3	5
tt10757300	tt4775414	7	5
tt10761492	tt0407423	49	106
tt10761524	tt0407423	49	107
tt10761536	tt0407423	49	108
tt10761552	tt0407423	50	46
tt10761820	tt0407423	50	55
tt10761824	tt0407423	50	62
tt10761830	tt0407423	50	63
tt10761832	tt0407423	50	66
tt10761864	tt0407423	50	70
tt10761894	tt0407423	50	76
tt10761914	tt0407423	50	81
tt10761938	tt0407423	50	85
tt10761956	tt0407423	50	86
tt10761962	tt0407423	50	87
tt10761966	tt0407423	50	94
tt10761972	tt0407423	50	99
tt10761978	tt0407423	50	108
tt10768542	tt10768188	4	3
tt10772510	tt0407423	45	6
tt10776624	tt9646546	3	6
tt10782816	tt0407423	51	50
tt10792500	tt10790842	1	0
tt10792594	tt10790842	1	1
tt10793330	tt0407423	50	109
tt10793818	tt10790842	1	2
tt10793856	tt10790842	1	3
tt10793912	tt10790842	1	4
tt10793980	tt10790842	1	5
tt10794006	tt10790842	1	6
tt10794024	tt10790842	1	7
tt10794056	tt10790842	1	8
tt10794086	tt10790842	1	9
tt10794100	tt10790842	1	10
tt10794140	tt10790842	1	11
tt10794166	tt10790842	1	12
tt10794204	tt10790842	1	13
tt10794248	tt10790842	1	14
tt10794302	tt10790842	1	15
tt10794332	tt10790842	1	16
