tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0052302	movie	Too Much, Too Soon	Too Much, Too Soon	0	1958	\N	121	['Biography', 'Drama', 'Romance']
tt0052340	movie	The Restless Night	Unruhige Nacht	0	1958	\N	95	['Drama', 'War']
tt0052911	movie	I'm All Right Jack	I'm All Right Jack	0	1959	\N	105	['Comedy']
tt0053007	movie	Liebe, Luft und lauter Lügen	Liebe, Luft und lauter Lügen	0	1959	\N	94	['Comedy']
tt0053252	movie	Die schöne Lügnerin	Die schöne Lügnerin	0	1959	\N	94	['Comedy']
tt0053285	movie	Sleeping Beauty	Sleeping Beauty	0	1959	\N	75	['Adventure', 'Animation', 'Family']
tt0053318	movie	Suddenly, Last Summer	Suddenly, Last Summer	0	1959	\N	114	['Drama', 'Mystery', 'Thriller']
tt0053494	tvSeries	Coronation Street	Coronation Street	0	1960	\N	30	['Drama', 'Romance']
tt0053525	tvSeries	My Three Sons	My Three Sons	0	1960	1972	30	['Comedy', 'Family']
tt0053535	tvSeries	Sie schreiben mit	Sie schreiben mit	0	1958	1970	25	['\\N']
tt0053589	movie	Twenty Brave Men	Am Galgen hängt die Liebe	0	1960	\N	93	['Drama']
tt0053764	movie	The Ninth Circle	Deveti krug	0	1960	\N	107	['Drama', 'Romance', 'War']
tt0053812	tvMovie	Die Falle	Die Falle	0	1960	\N	100	['Crime', 'Drama']
tt0053906	movie	Mistress of the World	Herrin der Welt	0	1960	\N	113	['Adventure', 'Crime', 'Sci-Fi']
tt0054109	tvMovie	Die Nachbarskinder	Die Nachbarskinder	0	1960	\N	36	['\\N']
tt0054387	movie	The Time Machine	The Time Machine	0	1960	\N	103	['Adventure', 'Romance', 'Sci-Fi']
tt0054461	movie	Was wäre, wenn...?	Was wäre, wenn...?	0	1960	\N	90	['\\N']
tt0054479	movie	We Cellar Children	Wir Kellerkinder	0	1960	\N	86	['Comedy', 'Drama', 'War']
tt0054518	tvSeries	The Avengers	The Avengers	0	1961	1969	60	['Action', 'Comedy', 'Crime']
tt0054531	tvSeries	The Defenders	The Defenders	0	1961	1965	60	['Crime', 'Drama']
tt0054541	tvSeries	Isar 12	Isar 12	0	1961	1963	25	['Action', 'Drama']
tt0054954	movie	Guten Tag, lieber Tag	Guten Tag, lieber Tag	0	1961	\N	90	['Music']
tt0054966	movie	Melody of Hate	Haß ohne Gnade	0	1962	\N	91	['Thriller']
tt0055005	movie	Igre na skelama	Igre na skelama	0	1961	\N	99	['Drama']
tt0055018	movie	The Innocents	The Innocents	0	1961	\N	100	['Horror']
tt0055184	movie	The Misfits	The Misfits	0	1961	\N	125	['Drama', 'Romance', 'Western']
tt0055256	movie	One, Two, Three	One, Two, Three	0	1961	\N	104	['Comedy']
tt0055465	movie	Ein Sommertag macht keine Liebe	Ein Sommertag macht keine Liebe	0	1961	\N	78	['\\N']
tt0055519	movie	Until Hell Is Frozen	Der Teufel spielte Balalaika	0	1961	\N	96	['Drama', 'Romance', 'War']
